respondent_id,origin_country,destination_country,migration_reason,migration_type,age_group,gender,education_level,year_of_migration,marital_status,monthly_income_usd,sends_remittance
1,Pakistan,Italy,Business/Investment,Work,45-54,Male,Secondary,2010,Divorced,1169,No
2,Sri Lanka,France,Skilled Worker Visa,Work,18-24,Male,PhD,2016,Divorced,1295,Yes
3,Bangladesh,South Korea,Business/Investment,Work,18-24,Female,Bachelor's,2018,Married,1068,Yes
4,Bangladesh,Saudi Arabia,Employment,Work,25-34,Male,Primary,2024,Divorced,1488,No
5,Nepal,Norway,Business/Investment,Work,45-54,Male,Bachelor's,2025,Divorced,465,Yes
6,Pakistan,New Zealand,Employment,Work,35-44,Female,Bachelor's,2017,Single,1241,No
7,Nepal,Oman,Skilled Worker Visa,Work,25-34,Male,Master's,2017,Married,2329,Yes
8,India,France,Economic Hardship,Permanent,25-34,Female,Secondary,2021,Married,1385,Yes
9,Pakistan,Germany,Economic Hardship,Permanent,18-24,Male,Master's,2022,Divorced,1063,Yes
10,Pakistan,Oman,Employment,Work,25-34,Female,Vocational/Technical,2008,Single,600,No
11,Nepal,Qatar,Skilled Worker Visa,Work,45-54,Male,Vocational/Technical,2020,Divorced,1521,Yes
12,Sri Lanka,Canada,Family Reunification,Permanent,18-24,Male,Bachelor's,2021,Married,243,No
13,Nepal,Germany,Family Reunification,Permanent,18-24,Male,PhD,2015,Single,675,Yes
14,Pakistan,Saudi Arabia,Employment,Work,25-34,Male,Bachelor's,2007,Married,1233,Yes
15,Nepal,Italy,Higher Education,Permanent,35-44,Male,Bachelor's,2002,Divorced,3731,Yes
16,India,Norway,Marriage/Spouse,Permanent,18-24,Female,Bachelor's,2022,Divorced,270,Yes
17,Pakistan,South Korea,Higher Education,Permanent,25-34,Male,Bachelor's,2022,Married,1078,Yes
18,Nepal,New Zealand,Marriage/Spouse,Permanent,45-54,Female,Secondary,2025,Married,3171,No
19,India,Saudi Arabia,Employment,Work,35-44,Male,Bachelor's,2018,Single,2648,Yes
20,Nepal,Germany,Skilled Worker Visa,Work,18-24,Male,Master's,2006,Married,708,No
21,Pakistan,New Zealand,Refugee/Asylum,Permanent,18-24,Male,Vocational/Technical,2008,Married,3186,No
22,Sri Lanka,Saudi Arabia,Employment,Work,25-34,Male,Primary,2018,Married,1398,Yes
23,Pakistan,South Korea,Higher Education,Permanent,25-34,Male,Vocational/Technical,2024,Divorced,9582,Yes
24,Bangladesh,Malaysia,Permanent Residency,Permanent,45-54,Male,Secondary,2013,Divorced,2001,Yes
25,Pakistan,Italy,Employment,Work,55+,Male,Secondary,2007,Single,1135,Yes
26,Pakistan,Japan,Family Reunification,Permanent,25-34,Male,Secondary,2015,Single,596,Yes
27,Nepal,South Korea,Permanent Residency,Permanent,25-34,Female,Primary,2018,Married,922,Yes
28,India,UAE,Better Quality of Life,Permanent,35-44,Male,Secondary,2020,Divorced,9143,Yes
29,India,New Zealand,Economic Hardship,Permanent,55+,Female,Bachelor's,2025,Single,2629,Yes
30,Sri Lanka,France,Family Reunification,Permanent,45-54,Male,Bachelor's,2010,Divorced,410,Yes
31,Nepal,Japan,Skilled Worker Visa,Work,18-24,Female,Bachelor's,2021,Single,565,Yes
32,Nepal,Germany,Better Quality of Life,Permanent,25-34,Male,Vocational/Technical,2017,Divorced,538,Yes
33,Bangladesh,Oman,Skilled Worker Visa,Work,35-44,Male,Secondary,2024,Married,5097,Yes
34,Pakistan,Norway,Family Reunification,Permanent,45-54,Female,Master's,2024,Divorced,287,Yes
35,India,Saudi Arabia,Family Reunification,Permanent,45-54,Female,Master's,2000,Married,976,Yes
36,India,Canada,Higher Education,Permanent,18-24,Male,PhD,2005,Married,908,Yes
37,Nepal,New Zealand,Family Reunification,Permanent,45-54,Male,Vocational/Technical,2014,Single,689,No
38,India,Australia,Business/Investment,Work,25-34,Male,Vocational/Technical,2021,Married,2223,Yes
39,Bangladesh,Malaysia,Marriage/Spouse,Permanent,25-34,Male,Secondary,2021,Divorced,730,Yes
40,Bangladesh,France,Business/Investment,Work,25-34,Male,Bachelor's,2008,Single,900,Yes
41,Nepal,Italy,Higher Education,Permanent,35-44,Female,Vocational/Technical,2024,Divorced,541,Yes
42,Bangladesh,UAE,Skilled Worker Visa,Work,18-24,Female,Bachelor's,2011,Married,3198,Yes
43,Sri Lanka,Italy,Permanent Residency,Permanent,35-44,Male,Master's,2025,Married,1398,Yes
44,Bangladesh,United Kingdom,Employment,Work,45-54,Male,Vocational/Technical,2008,Single,437,Yes
45,Nepal,Japan,Skilled Worker Visa,Work,35-44,Female,Secondary,2012,Married,789,Yes
46,Sri Lanka,Italy,Higher Education,Permanent,25-34,Male,Bachelor's,2013,Married,218,No
47,Bangladesh,France,Higher Education,Permanent,45-54,Male,Bachelor's,2010,Single,1764,Yes
48,Nepal,Germany,Skilled Worker Visa,Work,45-54,Female,Vocational/Technical,2019,Married,362,No
49,India,Oman,Better Quality of Life,Permanent,35-44,Female,Vocational/Technical,2020,Divorced,309,Yes
50,Nepal,Canada,Permanent Residency,Permanent,25-34,Male,Vocational/Technical,2017,Divorced,6979,Yes
51,Nepal,Qatar,Business/Investment,Work,55+,Male,Master's,2007,Divorced,1641,No
52,India,Canada,Business/Investment,Work,25-34,Male,Bachelor's,2009,Single,790,Yes
